submission_id,company_name_truth,revenue_truth,countries_truth,industry_truth,requested_coverages_truth,company_name_pred,revenue_pred,countries_pred,industry_pred,requested_coverages_pred,_merge,record_present,countries_precision,countries_recall,countries_f1,requested_coverages_precision,requested_coverages_recall,requested_coverages_f1,company_name_match,revenue_match,industry_match,malformed_or_failed
E001,Everstead Pharma Ltd,14608818,"[""Sweden"", ""Canada"", ""Singapore""]",Manufacturing,"[""Kidnap & Ransom"", ""Property""]",Everstead Pharma Ltd,14608818,"['Sweden', 'Canada', 'Singapore']",Manufacturing,"['Property', 'Kidnap & Ransom']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E002,Crestline Textiles Ltd,38122777,"[""Spain"", ""Norway"", ""Belgium""]",Technology,"[""General Liability"", ""Property""]",Crestline Textiles Ltd,38122777,"['Spain', 'Norway', 'Belgium']",Technology,"['General Liability', 'Property']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E003,Granite Analytics Ltd,7808428,"[""United States""]",Healthcare,"[""Technology E&O"", ""Professional Indemnity"", ""Directors & Officers""]",Granite Analytics Ltd,7808428,['United States'],Healthcare,"['Professional Indemnity', 'Technology E&O', 'Directors & Officers']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E004,Highland Logistics Ltd,35958262,"[""United Arab Emirates"", ""United Kingdom""]",Fintech,"[""Professional Indemnity"", ""Product Liability"", ""Management Liability""]",Highland Logistics Ltd,35958262,"['United Arab Emirates', 'United Kingdom']",Fintech,"['Professional Indemnity', 'Management Liability', 'Product Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E005,Ironclad Trading Ltd,29626602,"[""Denmark""]",Retail,"[""Management Liability""]",Ironclad Trading Ltd,29626602,['Denmark'],Retail,['Management Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E006,Alder Engineering Ltd,42413185,"[""Japan"", ""Canada""]",Logistics,"[""Media Liability""]",Alder Engineering Ltd,42413185,"['Japan', 'Canada']",Logistics,['Media Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E007,Foxmere Technologies Ltd,546984,"[""Sweden"", ""Singapore"", ""United Kingdom""]",Construction,"[""Media Liability""]",Foxmere Technologies Ltd,488379,"['Sweden', 'Singapore', 'United Kingdom']",Construction,['Media Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,False,True,False
E008,Redwood Manufacturing Ltd,16614618,"[""France"", ""United Arab Emirates"", ""Singapore""]",Media,"[""Product Liability""]",Redwood Manufacturing Ltd,16614618,"['France', 'United Arab Emirates', 'Singapore']",Media,['Product Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E009,Ivybridge Construction Ltd,37346694,"[""Spain""]",Life Sciences,"[""Directors & Officers"", ""Technology E&O"", ""General Liability""]",Ivybridge Construction Ltd,37346694,['Spain'],Life Sciences,"['General Liability', 'Technology E&O', 'Directors & Officers']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E010,Eastwick Group Ltd,45526148,"[""Switzerland"", ""Denmark"", ""Japan""]",Professional Services,"[""General Liability""]",Eastwick Group Ltd,45526148,"['Switzerland', 'Denmark', 'Japan']",Professional Services,['General Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
